Vrid,Vdatesub,State,AgencyType,AgencyTypeSimp,ParentAgency,Q1,Q1spec,Q2,Q3,Q4,A1,A1a,A1b,A1c,A1d,A2,A2_1spec,A2_95spec,A3,A4,A4a,A4a_spec,A5a,A5b,A5c,A5d,A5e,A5f,A5g,A5h,A5i,A5j,A5k,A5l,A5lspec,A6a,A6b,A6c,A6d,A6e,A6f,A6g,A6h,A6i,A7,A7a,A8,A9a_1,A9a_2,A9a_3,A9b_1,A9b_2,A9b_3,A9c_1,A9c_2,A9c_3,A9d_1,A9d_2,A9d_3,A9e_1,A9e_2,A9e_3,A9f_1,A9f_2,A9f_3,A9g_1,A9g_2,A9g_3,A9h_1,A9h_2,A9h_3,A9i_1,A9i_2,A9i_3,A9i_spec,A10a,A10b,A10c,A10d,A10e,A10f,A10g,A10h,A10i,A10j,A10k,A10l,A10m,A10n,A10o,A10p,A10q,A10q_spec,B1a,B1b,B1c,B1d,B1e,B1f,B1g,B2,B2spec,B3a,B3b,B3c,B3d,B3e,B4,B4spec,B5,B5spec,B6a,B6b,B6c,B6d,B7,B7spec,B8,B8spec,B9_1,B9_2,B9_3,B9_4,B9_5,B9_95,B9_3spec,B9_4spec,B9_5spec,B10_1,B10_2,B10_3,B10_4,B10_5,B10_95,B10_4spec,B10_5spec,B11,B11spec,B12,B12spec,B13,B14,B14spec,B15,B15spec,B16,B16_1spec,B16a,B17a,B17b,B17c,B17d,B17e,B18,B18spec,C1_1,C1_2,C1_3,C1_4,C1_5,C1_6,C1_7,C1_8,C1_9,C1_10,C1_11,C1_95,C1_96,C1_95spec,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_9,C2_10,C2_11,C2_95,C2_96,C2_95spec,C3_1,C3_2,C3_3,C3_4,C3_5,C3_6,C3_7,C3_8,C3_9,C3_10,C3_11,C3_95,C3_96,C3_95spec,C4_1,C4_2,C4_3,C4_4,C4_5,C4_6,C4_7,C4_8,C4_9,C4_10,C4_11,C4_95,C4_96,C4_95spec,C5_1,C5_2,C5_3,C5_4,C5_5,C5_6,C5_7,C5_8,C5_9,C5_10,C5_11,C5_95,C5_96,C5_95spec,C6_1,C6_2,C6_3,C6_4,C6_5,C6_6,C6_7,C6_8,C6_9,C6_10,C6_11,C6_95,C6_96,C6_95spec,C7_1,C7_2,C7_3,C7_4,C7_5,C7_6,C7_7,C7_8,C7_9,C7_10,C7_11,C7_95,C7_96,C7_95spec,C8_1,C8_2,C8_3,C8_4,C8_5,C8_6,C8_7,C8_8,C8_9,C8_10,C8_11,C8_95,C8_96,C8_95spec,C9_1,C9_2,C9_3,C9_4,C9_5,C9_6,C9_7,C9_8,C9_9,C9_10,C9_11,C9_95,C9_96,C9_95spec,C10_1,C10_2,C10_3,C10_4,C10_5,C10_6,C10_7,C10_8,C10_9,C10_10,C10_11,C10_95,C10_96,C10_95spec,D1,D2,D2spec,D3,D3spec,D4,D4spec,D5,D5spec,D5a,D5aspec,D6,D6spec,D7,D7spec,D8,D8spec,D9,D9spec,D10,D10spec,D11,D11spec,D12,D12spec,D13,D13spec,D14,D14spec,D15,D15spec,D16,D16spec,D17,D17spec,D17a,D17b,D17c,D17d,D18_1,D18_2,D18_3,D18_4,D18_5,D18_6,D18_7,D18_95,D18_96,D18_95spec,D19_1,D19_2,D19_3,D19_4,D19_5,D19_95,D19_96,D19_95spec,D20,D20a,D20b,D20bspec,D21,D21a,D21b,D21bspec,D22,D22a,D22b,D22bspec,D23,D23a,D23b,D23bspec,D24,D24a,D24b,D24bspec,D25,D25a,D25b,D25bspec,D26,D26a,D26b,D26bspec,D27,D27spec,D27a,D27b,D27b_1spec,D28,D29_1,D29_2,D29_3,D29_4,D29_5,D29_95,D29_96,D29_95spec,D30,D30_1spec,D31
87,8/25/11,DE,2,2,3,1,-7,1.5,1.5,1.5,2,Delaware Department of Health and Social Services (DHSS) Divison for the Visually Impaired (DVI),Department of Health and Social Services,Division Director,Cabinet Secretary,1,"Cabinet Secretary of DHSS, Governor",-7,"Rita Landgraf, DHSS Cabinet Sectetary",2,-7,-7,3,3,2,2,2,3,3,2,2,2,3,2,-9,3,3,1,1,99,3,1,99,1,2,-7,65,-9,-7,-7,-9,-7,-7,8,-9,8,-9,-7,-7,4,4,-9,22.09,21,1.09,-9,-7,-7,-9,-9,-7,20,-9,20,Teachers of the Visually Impaired and Delaware Industries for the Blind,0,-9,3,0,0,0,0,0,2,0,0,1,1,1,0,0,2,Other: Counselors. Note: there are other specialized staff not on the VR grant employed by the agency that are not listed above.,2,1,1,1,1,2,1,95,Office of Management and Budget has final authority. It is delegate to DSA and DSU for day to day operations.,2,2,1,2,1,1,-7,95,State Department of Technology and Information,1,1,1,1,1,-7,1,-7,0,0,1,0,0,0,VR Grant; ILS & Older Blind; IS&T,-7,-7,0,0,0,1,0,0,State appropriated general funds,-7,1,-7,2,-7,2,1,-7,1,-7,2,-7,-7,1,2,1,1,1,95,DSU; However final decision maker is the State Office of Management and Budget,0,0,1,0,1,1,1,1,0,1,0,0,0,-7,0,0,0,0,0,1,0,1,0,0,0,0,0,-7,0,0,0,0,0,0,1,1,0,1,0,0,0,-7,0,0,1,0,0,0,0,0,0,0,0,0,0,-7,0,0,1,0,0,1,1,1,0,0,0,0,0,-7,0,0,1,0,0,0,0,0,0,0,0,0,0,-7,0,0,1,0,1,0,0,0,0,0,0,1,0,Division of Management Services: Agency pulls data from all,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,1,0,General Agency; we work together in utilizing the same CRPs and will begin jointly negotiating & signing agreements this year.,3,1,33,1,66,1,66,1,Day Services,-9,-7,2,-7,1,State/Federal Minimum Wage Standards,1,0,3,-7,1,0,2,-7,2,-7,1,0,1,0,3,-7,2,-7,2,-7,-7,-7,-7,-7,1,1,1,0,1,0,1,0,0,-7,1,0,0,1,1,0,0,-7,1,1,2,-7,2,-7,-7,-7,2,-7,-7, ,2,-9,-7,-7,2,-7,-7,-7,2,-7,-7,-7,2,-7,-7,-7,1,Various,1,2,-7,3,0,0,0,0,0,0,1,-7,2,-7,DVI works in partnership with the Division of Developmental Disability Services and other providers to fund SE services.
131,3/11/11,FL,1,1,2,2,Bureau Chief of Field Services,15,27,27,2,Florida Division of Vocational Rehabilitation,Florida Department of Education,Division Director,Commissioner,95,-7,Senior Management,Commissioner of Education,2,-7,-7,3,2,3,3,3,2,3,3,3,3,3,-9,-7,3,3,99,3,3,3,99,99,1,2,-7,10,-9,-7,-7,-9,-7,-7,1,-7,1,1,1,-7,-9,-7,-7,921,921,-9,-9,-7,-7,-9,-9,-7,-9,-7,-7,IL,0,0,1,15,0,0,0,9,0,0,0,0,51,0,0,0,0,-9,3,1,1,1,1,1,1,1,-7,1,1,1,1,1,1,-7,1,-7,3,1,1,1,1,-7,95,legislature establishes a line item budget,0,0,0,0,0,1,-7,-7,-7,0,0,0,1,0,0,Social Security Reimbursement,-7,1,-7,1,"Focus groups of stakeholders, staff, partners; data collection and analysis; consolidation of information to determine goals, strategies",1,1,-7,-9,-7,2,-7,-7,1,1,1,2,2,2,-7,0,0,1,1,1,1,1,1,0,0,0,0,0,-7,0,0,0,0,0,1,0,1,0,0,0,0,0,-7,0,0,0,1,0,0,0,0,0,0,0,0,0,-7,0,0,1,1,1,0,0,0,0,0,0,0,0,-7,0,0,0,1,1,0,0,0,0,0,0,0,0,-7,0,0,0,0,1,1,0,0,0,0,0,0,0,-7,0,0,1,1,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,1,0,Department of Health; Agency for Healthcare Administration,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,3,-7,3,-7,1,-9,2,-7,-7,-7,2,-7,1,minimum,2,-7,3,-7,3,-7,2,-7,2,-7,2,-7,3,-7,3,-7,2,-7,2,-7,-7,-7,-7,-7,1,1,0,0,1,0,0,0,0,-7,0,0,0,1,1,0,0,-7,1,2,2,-7,1,1,2,-7,1,1,2, ,1,2,2,-7,2,-7,-7,-7,1,1,2,-7,2,-7,-7,-7,1,United Way to a CRP,2,2,-7,-9,0,0,0,1,1,0,0,-7,1,All populations; waiting lists are common,-9
109,3/2/11,FL,2,2,2,1,-7,2,2,2,2,Florida Division of Blind Services,Florida Department of Education,Joyce Hildreth,Eric Smith,1,-9,-7,Eric Smith,2,-7,-7,3,1,3,3,3,1,3,3,3,3,3,-9,-7,3,3,2,3,3,3,2,3,2,-9,-7,300,-9,-7,-7,-9,-7,-7,18,-9,18,-9,-7,-7,15,15,-9,147,147,-9,-9,-7,-7,-9,-9,-7,-9,-7,-7,-7,-9,207,11,-9,-9,-9,-9,-9,22,-9,-9,-9,16,-9,-9,-9,-9,-7,3,1,1,1,1,1,1,1,-7,3,1,1,1,1,1,-7,1,-7,1,1,1,1,1,-7,1,-7,-9,-9,-9,-9,-9,-9,-7,-7,-7,0,0,0,0,0,1,-7,-7,1,-7,1,-9,1,1,-7,1,-7,1,Receipt 2007 Governor's Sterling Award,2,1,1,1,1,1,1,-7,0,0,0,0,1,0,0,0,0,0,0,1,0,Contract with local CRPs,0,0,0,0,0,0,0,0,0,0,0,1,0,Contract with local CRPs,0,0,0,0,0,0,0,0,0,0,0,1,0,Contract with local CRPs,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,11,2,-7,2,-7,2,-7,2,-7,-7,-7,2,-7,2,-7,1,-9,1,-9,2,-7,2,-7,2,-7,2,-7,2,-7,3,-7,2,-7,2,-7,-7,-7,-7,-7,0,1,0,0,0,0,0,0,0,-7,0,0,0,0,0,1,0,Contracts with CRPs,2,-7,-7,-7,2,-7,-7,-7,2,-7,-7, ,2,-9,-7,-7,2,-7,-7,-7,2,-7,-7,-7,-9,-7,-7,-7,-9, ,-7,-7,-7,3,-9,-9,-9,-9,-9,-9,-9,-7,-9,-7,-9
43,8/25/11,IA,1,1,2,2,Executive Officer 2,5,12,12,1,Iowa Division of Vocational Rehabilitation Services,-7,Administrator,-7,2,-7,-7,"Director, Department of Education",2,-7,-7,1,3,3,3,3,3,3,3,3,3,3,-9,-7,3,3,3,1,3,3,3,3,1,2,-7,382.2,-9,-7,-7,137.9,-9,137.9,1.9,-9,1.9,-9,-7,-7,-9,-7,-7,240.5,189.995,50.505,-9,-7,-7,-9,-7,-7,1.9,-9,1.9,EWD State Appropriations,0,0,1,0,0,15,0,0,35,0,0,0,1,0,0,0,4,Self Employment,1,1,1,1,1,1,1,1,-7,3,1,1,1,1,1,-7,1,-7,1,1,1,1,1,-7,1,-7,0,0,1,0,0,0,In-Service Grant,-7,-7,1,0,0,0,0,0,-7,-7,1,-7,1,Strategic Planning Team,1,95,RSA,1,-7,2,-7,-7,1,1,1,1,1,1,-7,0,0,0,0,1,0,1,0,0,0,0,1,0,Department of Human Rights/Division of PWD; Iowa Department for the Blind;,0,0,0,0,0,0,0,0,0,0,0,1,0,CRP,0,0,0,0,0,0,0,0,0,0,0,1,0,Local Workforce Development Agency,0,0,0,0,1,0,0,0,0,0,0,1,0,Dept of Human Rights/division of Persons with Disabilities,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,124,2,-7,2,-7,2,-7,1,Supported Living,2,-7,2,-7,1,State of Iowa Minimum Wage,2,-7,1,124,2,-7,2,-7,2,-7,2,-7,2,-7,3,-7,2,-7,2,-7,-7,-7,-7,-7,1,1,0,0,0,0,0,0,0,-7,0,0,0,1,0,0,0,-7,2,-7,-7,-7,1,2,2,-7,1,1,2, ,2,-9,-7,-7,1,2,2,-7,1,1,2,-7,2,-7,-7,-7,2, ,-7,-7,-7,2,0,0,0,0,0,0,1,-7,1,TBI,-9
158,8/25/11,IA,2,2,4,2,Deputy Director,21,21,21,1,Iowa Department for the Blind,-7,Department Director,-7,1,three member commision,-7,three member commission,2,-7,-7,3,3,3,3,3,3,3,3,3,3,3,-9,-7,3,3,1,1,3,3,1,3,1,2,-7,89,-9,-7,-7,-9,-7,-7,1,-7,1,-9,-7,-7,4,4,-9,74,74,-9,-9,-7,-7,-9,-7,-7,10,-9,1,various,0,0,2,1,0,0,0,0,49,0,0,1,2,0,0,0,34,various,1,1,1,1,1,1,1,1,-7,1,1,1,1,1,1,-7,1,-7,1,-9,-9,1,1,-7,1,-7,0,0,1,1,0,0,"CFDA# 45.312, 84.027, 84.126, 84.169, 84.177, 84.187, 84.265, 84.390, 84.398, 84.399, 96.001",various,-7,0,0,0,1,1,0,state appropriations,"donations, estates, interest income",1,-7,2,-7,1,1,-7,1,-7,2,-7,-7,1,1,1,1,1,1,-7,1,0,0,1,0,0,1,0,0,0,1,0,0,-7,0,0,0,1,0,0,1,0,0,0,1,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,1,0,state education agency,0,0,0,0,0,0,0,0,0,0,0,1,0,state education agency,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,1,0,0,0,0,0,0,0,0,0,1,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,1,0,general VR agency,0,0,0,0,0,0,0,0,0,0,0,1,0,general VR agency,0,0,0,0,0,0,0,0,0,0,0,1,0,general VR agency,8,1,50,1,0,1,50,2,-7,-7,-7,2,-7,1,state minimum wage,3,-7,3,-7,1,0,2,-7,2,-7,2,-7,2,-7,3,-7,2,-7,2,-7,-7,-7,-7,-7,1,1,0,1,0,0,0,0,0,-7,1,0,0,1,1,0,0,-7,2,-7,-7,-7,2,-7,-7,-7,1,1,1,4,2,-9,-7,-7,2,-7,-7,-7,2,-7,-7,-7,2,-7,-7,-7,2, ,-7,-7,-7,3,0,0,0,0,0,0,1,-7,1,Those individuals with difficult work histories or criminal backgrounds who have blindness as their only disability.,-9
77,8/25/11,ID,1,1,2,1,-7,7.5,7.5,25,2,Idaho Division of Vocational Rehabilitation,The State Board of Education,Administrator,Executive Director of the State Board of Education,3,-7,-7,The Executive Director of the State Board of education,2,-7,-7,3,2,3,3,3,3,3,3,3,3,3,-9,-7,3,3,3,3,99,3,3,-9,1,1,There are four Tribal VR projects in the state each housed on the various Tribal reservations.,151,-9,-7,-7,-9,-7,-7,-9,-7,-7,-9,-7,-7,-9,-7,-7,147.5,-9,-9,-9,-7,-7,3,-9,-9,-9,-7,-7,-7,0,0,0,3.5,10,0,-9,11,48,0,0,0,12,0,0,0,-9,-7,3,2,1,1,1,1,1,1,-7,1,1,1,1,1,1,-7,1,-7,1,1,1,1,1,-7,95,"There are set rules in the state for fund expenditures and transfers. The DSU works with the State Controller's office, the Division of Financial Management, and the State Board of Education.",0,0,1,0,0,0,MSFW grant and the Quality training grant,-7,-7,1,1,1,1,0,0,third party grants,-7,1,-7,1,"We follow the regulations performing needs assessment, develop a plan and get approval from RSA. There is also an internal state parallel strateg",1,1,-7,1,-7,2,-7,-7,1,1,1,1,1,95,"The DSU has a primary role; however, the Department of Administration, Division of Purchasing has final say of contracts or purchase over $5000.",1,0,1,1,1,1,1,1,1,1,1,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,1,0,CRPs,1,0,1,1,1,0,1,1,0,0,0,0,0,-7,1,0,1,0,1,0,0,1,0,0,0,1,0,"The State Independent Living Council, one IL center, and the Idaho Educational Bureau of Services for the Deaf and the Blind",1,0,1,0,1,0,0,1,0,0,0,0,0,-7,1,0,1,0,1,0,0,1,0,0,1,0,0,-7,1,0,1,0,1,0,1,1,0,0,1,1,0,IESDB educational services for the Deaf and the Blind and the Commission for the Blind and Visually Impaired.,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,-9,2,-7,-9,-7,2,-7,1,Post employment services may be used on occasion.,2,-7,2,-7,2,-7,2,-7,1,-9,3,-7,3,-7,3,-7,2,-7,2,-7,3,-7,2,-7,1,The program currently is contracted out to a vendor and provides ongoing services to about 750 clients.,exclusively state general fuds,3490000,1000,"Primarily the DD and MH populations. It isn't restricted to other disabilities; however, few others",0,1,1,0,0,0,1,0,0,-7,1,0,1,0,0,0,0,-7,2,-7,-7,-7,2,-7,-7,-7,1,1,1,200,2,-9,-7,-7,2,-7,-7,-7,2,-7,-7,-7,2,-7,-7,-7,2, ,-7,-7,-7,2,0,0,0,0,0,0,1,-7,2,-7,-9
164,4/1/11,ID,2,2,4,2,Rehabilitation Services Chief,4,4,15,1,Idaho Commission for the Blind and Visually Impaired,-7,Administrator,-7,3,-7,-7,Commission Board Chairperson,2,-7,-7,3,3,3,3,3,3,3,3,3,3,3,-9,-7,3,3,1,1,99,99,1,3,1,1,-7,39,-9,-7,-7,-9,-7,-7,8,-9,8,-9,-7,-7,2,2,-9,7,7,-9,-9,-7,-7,-9,-9,-7,22,-9,22,-9,-9,26.5,-9,-9,-9,-9,-9,-9,5,-9,-9,3,-9,-9,-9,-9,2,Assistive Tech,3,3,1,1,1,1,1,1,-7,1,1,1,1,1,1,-7,1,-7,1,1,1,1,1,-7,1,-7,0,0,0,0,0,1,-7,-7,-7,0,0,0,1,1,0,Social Security,Donations,1,-7,2,-7,1,1,-7,1,-7,2,-7,-7,1,1,1,1,1,1,-7,0,0,1,0,1,0,1,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,1,0,Commission on Aging,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,1,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,2,-7,2,-7,2,-7,2,-7,-7,-7,2,-7,1,Federal minimum wage,2,-7,3,-7,3,-7,2,-7,2,-7,2,-7,2,-7,3,-7,2,-7,2,-7,-7,-7,-7,-7,0,1,1,0,0,0,0,0,0,-7,0,0,0,0,0,1,0,Medicaid waiver documentation or EES eligibility documentation,-9,-7,-7,-7,2,-7,-7,-7,1,1,2, ,2,-9,-7,-7,2,-7,-7,-7,2,-7,-7,-7,2,-7,-7,-7,1,Extended Employment Services - State General Fund only (limited),1,-9,-7,3,0,0,0,0,0,0,1,-7,-9,-7,-9
32,8/25/11,IL,3,1,2,2,Planning Administrator,17,21,21,2,Illinois Division of Rehabilitation Services,Department of Human Services,Director,Secretary,1,Governor,-7,Assistant Secretary,2,-7,-7,1,3,2,3,2,3,3,-9,2,2,3,1,Home Services Program,3,1,1,1,1,99,1,99,1,2,-7,1316,-9,-7,-7,516,-9,516,4,-9,4,-9,-7,-7,14,-9,14,526,526,-9,-9,-7,-7,1,-7,1,222,-9,222,Home Services Program,1,65,6,30,0,5,0,0,4,0,0,7,45,0,0,0,0,-9,1,1,1,2,1,2,1,2,-7,3,3,3,3,1,95,Dept. of Central Management Svcs,95,Dept. of Central Management Svcs,1,1,1,1,1,-7,1,-7,1,1,1,0,0,0,Migrant grant,-7,-7,0,0,0,1,0,0,Social Security reimbursement,-7,1,-7,2,-7,2,1,-7,1,-7,2,-7,-7,1,1,1,1,1,1,-7,0,0,1,1,0,0,0,1,0,0,1,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,1,0,0,1,0,0,0,-7,0,0,1,0,0,0,0,1,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,1,0,0,-7,0,0,0,0,0,0,0,1,0,0,0,0,0,-7,0,0,0,0,1,0,1,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,390,1,90,1,10,2,-7,2,-7,-7,-7,2,-7,1,state minimum wage $8.50/hour,1,390,3,-7,2,-7,3,-7,3,-7,2,-7,2,-7,3,-7,2,-7,1,State funded extended services,State general revenue funds,985000,184,Primarily developmentally disabled,0,1,0,0,0,0,0,0,0,-7,0,1,0,0,0,0,0,-7,2,-7,-7,-7,2,-7,-7,-7,2,-7,-7, ,2,-9,-7,-7,2,-7,-7,-7,2,-7,-7,-7,2,-7,-7,-7,2, ,-7,-7,-7,2,0,0,0,0,0,0,1,-7,2,-7,DRS continues to make efforts to move individuals served in supported employment into natural supports.  Funding for extended services remains an ongoing issue in our state.   In the current fiscal environment it is unlikely that funding can be sustained at the present level.
49,8/24/11,IN,3,1,5,2,Director of Policy and Planning,1.5,17.5,17.5,2,Indiana Bureau of Rehabilitation Services,Division of Disability and Rehabilitative Services,BRS Director,DDRS Director,1,DDRS Director,-7,DDRS Director,2,-7,-7,2,3,2,3,3,3,3,3,3,3,3,-9,-7,1,3,1,1,99,99,1,99,1,2,-7,326,-9,-7,-7,-9,-7,-7,1.25,1.25,-9,-9,-7,-7,5,5,-9,326,326,-9,-9,-7,-7,-9,-7,-7,-9,-7,-7,-7,0,20,3,23,0,0,0,0,0,0,0,0,0,0,0,0,-9,-7,3,1,1,3,1,1,1,1,-7,1,3,3,3,1,1,-7,1,-7,1,1,1,1,1,-7,1,-7,1,0,1,0,0,0,"HHS Traumatic Brain Injury, RSA Training Grant; MiG",-7,-7,0,0,0,1,0,0,SSA/VR Reimbursement,-7,1,-7,2,-7,1,1,-7,1,-7,2,-7,-7,1,1,1,1,3,1,-7,0,0,0,0,1,1,0,0,0,0,1,0,0,-7,0,0,0,0,0,1,0,0,0,0,0,0,0,-7,0,0,0,0,0,1,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,1,1,1,0,0,0,0,0,-7,0,0,0,0,0,1,0,1,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,1,0,Medicaid rates used when appropriate,887,2,-7,2,-7,2,-7,2,-7,-7,-7,2,-7,1,Minimum federal wage,2,-7,1,887,3,-7,3,-7,3,-7,2,-7,3,-7,3,-7,2,-7,2,-7,-7,-7,-7,-7,0,1,1,0,0,0,0,0,0,-7,0,0,0,1,0,1,0,Transfer to SEFA form sent from VR to DD Agency to facilitate the continuity of SE extended services,1,1,2,-7,2,-7,-7,-7,1,1,2, ,2,-9,-7,-7,1,1,2,-7,2,-7,-7,-7,2,-7,-7,-7,2, ,-7,-7,-7,2,0,0,0,0,0,0,1,-7,1,People with traumatic brain injuries,"VR does not monitor SE extended services, therefore much of the data is not available at this time."
75,9/19/11,KY,1,1,1,1,-7,6.5,6.5,6.5,2,Kentucky Office of Vocational Rehabilitation,Kentucky Department for Workforce Investment,Ex. Director OVR,Commissioner of Workforce investment,1,Governor,-7,Commissioner,2,-7,-7,3,3,3,3,3,2,2,3,3,2,3,-9,-7,1,2,2,1,1,1,1,99,1,2,-7,390,-9,-7,-7,-9,-7,-7,-9,-7,-7,-9,-7,-7,-9,-7,-7,409,-9,-9,-9,-7,-7,-9,-9,-7,-9,-7,-7,-7,0,0,22,18,0,0,0,0,4.5,0,0,0,1,2,0,0,0,-9,2,1,1,1,1,1,1,1,-7,1,1,1,1,1,1,-7,1,-7,1,1,1,1,1,-7,1,-7,0,0,1,0,0,0,Migrant,-7,-7,1,0,0,0,0,0,-7,-7,1,-7,1,-9,1,1,-7,1,-7,2,-7,-7,1,1,1,1,1,1,-7,1,0,1,1,1,0,1,1,0,0,1,0,0,-7,0,0,0,0,0,0,0,1,0,0,0,0,0,-7,0,0,1,0,0,0,1,0,0,0,0,1,0,Office of employment and Training,0,0,1,0,1,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,1,0,Office of Employment and Training,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,0,0,0,0,0,0,0,0,0,0,0,0,1,-7,250,2,-7,2,-7,2,-7,2,-7,-7,-7,2,-7,1,minimum wage,2,-7,1,-9,1,-9,2,-7,2,-7,2,-7,1,-9,1,-9,2,-7,2,-7,-7,-7,-7,-7,0,1,1,0,0,0,0,0,0,-7,1,0,0,0,1,0,0,-7,2,-7,-7,-7,2,-7,-7,-7,1,1,2, ,2,-9,-7,-7,2,-7,-7,-7,1,1,2,-7,2,-7,-7,-7,2, ,-7,-7,-7,2,0,1,0,0,1,0,0,-7,2,-7,-9
118,8/25/11,KY,2,2,1,1,-7,2.5,2.5,2.5,2,Kentucky Office for the Blind,Kentucky Department for Workforce Investment,Executive Director,Commissioner,1,Governor,-7,Commissioner,2,-7,-7,3,3,3,3,3,3,2,3,3,3,3,3,-9,1,2,1,1,2,99,1,99,2,2,-7,103,6,6,-9,-9,-7,-7,10,10,-9,10,10,-9,11,-9,-9,71,71,-9,-9,-7,-7,-9,-7,-7,-9,-7,-7,-7,0,103,18,1,0,0,0,1,17,0,0,4,1,0,0,0,-9,-7,2,1,1,2,1,2,2,95,Education Cabinet - Division of Personnel,2,2,3,3,3,2,-7,95,Education Cabinet - DSA and above,1,1,1,1,1,-7,1,-7,0,0,1,0,1,0,Blind Basic Grant Award,-7,Federal - Blind Quality Award,0,0,0,0,0,1,-7,-7,1,-7,1,"SLOT Analysis, Utilized a Facilitator",1,1,-7,1,-7,2,-7,-7,1,1,1,1,1,95,Education Cabinet - Administration and Budget,0,0,1,1,1,0,0,0,0,0,0,1,0,Office of Vocational Rehabilitation,0,0,0,0,0,0,0,0,0,0,0,1,0,Office of Vocational Rehabilitation,0,0,0,0,0,0,1,0,0,0,0,1,0,"Area Development District, Office of Vocational Rehabilitation",0,0,1,0,0,0,0,0,0,0,0,0,0,-7,0,0,0,0,0,0,1,0,0,0,0,1,0,Office of Vocational Rehabilitation,0,0,0,0,0,0,0,0,0,0,0,1,0,Office of Vocational Rehabilitation - Deaf/Blind Services,0,0,1,1,0,0,1,0,0,0,0,0,0,-7,0,0,0,0,0,0,1,0,0,0,0,1,0,Office of Vocational Rehabilitation,0,0,0,0,0,0,0,0,0,0,0,1,0,Office of Vocational Rehabilitation,0,0,0,0,0,0,0,0,0,0,0,1,0,Office of Vocational Rehabilitation,-9,2,-7,2,-7,2,-7,2,-7,-7,-7,2,-7,1,Minimum Wage,2,-7,1,-9,1,0,2,-7,2,-7,2,-7,3,-7,3,-7,2,-7,2,-7,-7,-7,-7,-7,0,1,1,0,1,0,0,0,0,-7,1,0,0,0,0,0,0,-7,2,-7,-7,-7,2,-7,-7,-7,2,-7,-7, ,1,2,2,-7,2,-7,-7,-7,2,-7,-7,-7,2,-7,-7,-7,2, ,-7,-7,-7,2,0,1,0,0,1,0,0,-7,1,"Blind/Visually Impaired, Mental Illness, Severe Physical Disabilities",-9
